Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
bl25_1.rcp | 4.6287146 | 35430 | 27 | 32501 | 2.5500045 | 21360 | 27 | 22371 | 3.9879076 | 21360 | 27 | 22376 | 2.9481275 | 21202 | 27 | 28531 | 
bl25_2.rcp | 145.96432 | 1022829 | 29 | 1751887 | 106.34233 | 793977 | 29 | 1183912 | 151.99324 | 795171 | 29 | 1262243 | 76.257935 | 617747 | 29 | 1188760 | 
bl25_3.rcp | 0.7549798 | 6612 | 23 | 8467 | 0.4401966 | 3908 | 23 | 5719 | 0.7627094 | 3908 | 23 | 5722 | 0.4728287 | 3007 | 23 | 7964 | 
bl25_4.rcp | 0.046253696 | 514 | 22 | 569 | 0.04619383 | 456 | 22 | 515 | 0.07463451 | 456 | 22 | 515 | 0.052426293 | 448 | 22 | 816 | 
bl25_5.rcp | 0.026143435 | 474 | 28 | 336 | 0.027438048 | 434 | 28 | 383 | 0.039609037 | 434 | 28 | 383 | 0.027328532 | 434 | 28 | 509 | 
bl25_6.rcp | 600.0001 | 9940428 | -1 | 12001823 | 600.0002 | 9526533 | -1 | 12542902 | 600.00006 | 5698183 | -1 | 7501557 | 600.0001 | 9321725 | -1 | 14040211 | 
bl25_7.rcp | 0.76435566 | 12771 | 26 | 10989 | 0.26546037 | 4123 | 26 | 3973 | 0.44113162 | 4123 | 26 | 3999 | 0.24976936 | 3977 | 26 | 5352 | 
bl25_8.rcp | 77.05874 | 965954 | 24 | 1865827 | 75.135025 | 889636 | 24 | 1715296 | 129.76385 | 889636 | 24 | 1709708 | 52.22614 | 571640 | 24 | 1108076 | 
bl25_9.rcp | 11.635489 | 88985 | 27 | 217991 | 9.180967 | 65923 | 27 | 155917 | 15.735669 | 65923 | 27 | 155966 | 11.250893 | 62503 | 27 | 181505 | 
bl25_10.rcp | 6.6268487 | 132445 | 23 | 98770 | 3.0786808 | 56793 | 23 | 48650 | 5.245654 | 56793 | 23 | 48650 | 3.0791852 | 56435 | 23 | 62206 | 
bl25_11.rcp | 4.7420397 | 93295 | 24 | 85676 | 3.2427855 | 56669 | 24 | 49633 | 5.2646823 | 56669 | 24 | 50207 | 2.8262153 | 51015 | 24 | 60332 | 
bl25_12.rcp | 35.359886 | 487035 | 30 | 385048 | 19.546717 | 258861 | 30 | 186854 | 33.414154 | 258861 | 30 | 204242 | 21.442682 | 255427 | 30 | 245213 | 
bl25_13.rcp | 0.01009946 | 214 | 17 | 204 | 0.010478984 | 194 | 17 | 214 | 0.016524715 | 194 | 17 | 214 | 0.009144884 | 194 | 17 | 187 | 
bl25_14.rcp | 317.75858 | 3076192 | 30 | 6676838 | 363.9042 | 3058824 | 30 | 7477746 | 579.6122 | 3058592 | 30 | 7477460 | 211.24377 | 1483624 | 30 | 4181971 | 
bl25_15.rcp | 134.67284 | 1844039 | 20 | 2896598 | 104.650276 | 1419681 | 20 | 1697610 | 174.37709 | 1419681 | 20 | 1789696 | 90.79708 | 851867 | 20 | 1481218 | 
bl25_16.rcp | 1.6765012 | 17362 | 20 | 25652 | 0.8606897 | 9044 | 20 | 15163 | 1.5071173 | 9044 | 20 | 15238 | 0.91913337 | 7874 | 20 | 18354 | 
bl25_17.rcp | 0.026027301 | 340 | 26 | 308 | 0.020563766 | 218 | 26 | 258 | 0.03481032 | 218 | 26 | 258 | 0.021094488 | 214 | 26 | 323 | 
bl25_18.rcp | 13.774042 | 161376 | 23 | 242769 | 5.8439794 | 67376 | 23 | 89168 | 9.705664 | 67376 | 23 | 89290 | 6.0795407 | 64174 | 23 | 102646 | 
bl25_19.rcp | 0.12757543 | 1908 | 23 | 2146 | 0.09953373 | 1314 | 23 | 1388 | 0.16894566 | 1314 | 23 | 1486 | 0.104824424 | 1278 | 23 | 1819 | 
bl25_20.rcp | 40.368866 | 555660 | 28 | 428602 | 14.9701 | 182994 | 28 | 142173 | 24.44 | 182994 | 28 | 142272 | 17.709068 | 180406 | 28 | 159773 | 
Solve by All :19       NbTL :19, NbH :19, NbCH :19, NbOH :19   TimeTL :41.89591042084717, TimeH :37.3797698404738, TimeCH :59.82029380874806, TimeOH :26.19564163341726   BackTL :447549, BackH :362725, BackCH :362776, BackOH :222814
