Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_4_2.rcp | 2.39158E-4 | 10 | 308 | 0 | 2.85542E-4 | 10 | 308 | 0 | 3.39566E-4 | 10 | 308 | 0 | 3.28574E-4 | 10 | 308 | 0 | 
j30_4_3.rcp | 7.41267E-4 | 46 | 356 | 2 | 0.001022079 | 46 | 356 | 2 | 0.001294693 | 46 | 356 | 2 | 0.001401072 | 46 | 356 | 2 | 
j30_4_4.rcp | 2.95017E-4 | 9 | 304 | 0 | 3.26521E-4 | 9 | 304 | 1 | 4.53709E-4 | 9 | 304 | 1 | 3.13515E-4 | 9 | 304 | 1 | 
j30_4_5.rcp | 9.09118E-4 | 36 | 294 | 2 | 9.66193E-4 | 36 | 294 | 4 | 0.001369348 | 36 | 294 | 4 | 0.001108056 | 36 | 294 | 4 | 
j30_4_6.rcp | 3.47531E-4 | 8 | 394 | 0 | 3.64951E-4 | 8 | 394 | 0 | 4.95693E-4 | 8 | 394 | 0 | 3.47067E-4 | 8 | 394 | 0 | 
j30_4_7.rcp | 2.04715E-4 | 8 | 629 | 0 | 3.15729E-4 | 8 | 629 | 1 | 7.6188E-4 | 8 | 629 | 1 | 4.49949E-4 | 8 | 629 | 1 | 
j30_4_8.rcp | 5.75034E-4 | 9 | 482 | 0 | 3.77436E-4 | 9 | 482 | 0 | 3.74773E-4 | 9 | 482 | 0 | 3.02706E-4 | 9 | 482 | 0 | 
j30_4_9.rcp | 3.69729E-4 | 11 | 235 | 0 | 4.16912E-4 | 11 | 235 | 1 | 6.93979E-4 | 11 | 235 | 1 | 6.60224E-4 | 11 | 235 | 1 | 
j30_4_10.rcp | 3.45119E-4 | 7 | 760 | 1 | 3.15356E-4 | 7 | 760 | 1 | 2.64549E-4 | 7 | 760 | 1 | 3.5644E-4 | 7 | 760 | 1 | 
j30_5_1.rcp | 0.001570529 | 13 | 360 | 9 | 0.002569644 | 13 | 360 | 10 | 0.002983831 | 13 | 360 | 10 | 0.002013863 | 13 | 360 | 14 | 
j30_5_2.rcp | 0.003124534 | 47 | 484 | 41 | 0.003805238 | 47 | 484 | 38 | 0.004193131 | 47 | 484 | 39 | 0.002756099 | 47 | 484 | 43 | 
j30_5_3.rcp | 60.000053 | 2261849 | -1 | 3436270 | 60.000015 | 1853934 | -1 | 1152019 | 60.000042 | 1290138 | -1 | 1164010 | 60.000046 | 1773522 | -1 | 1457517 | 
j30_5_4.rcp | 60.000053 | 1392551 | -1 | 1786262 | 60.000027 | 928518 | -1 | 1195282 | 60.000034 | 743223 | -1 | 995662 | 60.00009 | 1018394 | -1 | 1357703 | 
j30_5_5.rcp | 60.000072 | 1093282 | -1 | 1650839 | 60.000126 | 762282 | -1 | 1015545 | 60.000053 | 624015 | -1 | 926349 | 60.00002 | 699115 | -1 | 1004691 | 
j30_5_6.rcp | 60.000053 | 1471141 | -1 | 1593714 | 60.00005 | 1043911 | -1 | 912238 | 60.00008 | 796436 | -1 | 622791 | 60.000122 | 1022809 | -1 | 843493 | 
j30_5_7.rcp | 60.00003 | 792871 | -1 | 1730200 | 60.00013 | 597969 | -1 | 1369937 | 60.000023 | 466878 | -1 | 1059411 | 60.000015 | 644819 | -1 | 1379202 | 
j30_5_8.rcp | 60.00009 | 1306800 | -1 | 2130904 | 60.000134 | 903244 | -1 | 1657786 | 60.000023 | 605322 | -1 | 1165225 | 60.00005 | 1062773 | -1 | 1907989 | 
j30_5_9.rcp | 60.00006 | 1418654 | -1 | 2403312 | 60.000492 | 1017839 | -1 | 1206486 | 60.000023 | 699779 | -1 | 1186345 | 60.00004 | 991147 | -1 | 1725935 | 
j30_5_10.rcp | 0.00999104 | 258 | 664 | 183 | 0.01572808 | 258 | 664 | 436 | 0.025358623 | 258 | 664 | 436 | 0.013593117 | 258 | 664 | 443 | 
j30_6_1.rcp | 3.62301E-4 | 7 | 479 | 0 | 3.52971E-4 | 7 | 479 | 1 | 5.02687E-4 | 7 | 479 | 1 | 3.49288E-4 | 7 | 479 | 2 | 
j30_6_2.rcp | 4.04907E-4 | 8 | 454 | 1 | 4.66478E-4 | 8 | 454 | 1 | 7.26626E-4 | 8 | 454 | 1 | 4.63619E-4 | 8 | 454 | 2 | 
j30_6_3.rcp | 3.67886E-4 | 10 | 403 | 1 | 3.80724E-4 | 10 | 403 | 1 | 4.96656E-4 | 10 | 403 | 2 | 3.50743E-4 | 10 | 403 | 3 | 
j30_6_4.rcp | 0.022689972 | 483 | 551 | 2 | 0.030628333 | 483 | 551 | 78 | 0.045446407 | 483 | 551 | 78 | 0.028226728 | 483 | 551 | 112 | 
j30_6_5.rcp | 6.47853E-4 | 15 | 369 | 1 | 5.71981E-4 | 15 | 369 | 4 | 7.73361E-4 | 15 | 369 | 4 | 5.38934E-4 | 15 | 369 | 4 | 
j30_6_6.rcp | 0.008001821 | 308 | 404 | 44 | 0.011132978 | 308 | 404 | 58 | 0.01765684 | 308 | 404 | 58 | 0.010943849 | 308 | 404 | 58 | 
j30_6_7.rcp | 0.005188608 | 258 | 438 | 0 | 0.00761526 | 258 | 438 | 2 | 0.011620937 | 258 | 438 | 2 | 0.006474399 | 258 | 438 | 2 | 
j30_6_8.rcp | 4.05562E-4 | 9 | 327 | 1 | 5.33184E-4 | 9 | 327 | 2 | 8.17412E-4 | 9 | 327 | 2 | 4.33709E-4 | 9 | 327 | 3 | 
j30_6_9.rcp | 0.001364596 | 16 | 363 | 4 | 0.001231927 | 16 | 363 | 10 | 0.001378649 | 16 | 363 | 10 | 0.001076618 | 16 | 363 | 10 | 
j30_6_10.rcp | 0.001923503 | 71 | 341 | 4 | 0.003027332 | 71 | 341 | 9 | 0.00374902 | 71 | 341 | 9 | 0.002336702 | 71 | 341 | 10 | 
j30_7_1.rcp | 3.39488E-4 | 8 | 509 | 0 | 4.01532E-4 | 8 | 509 | 0 | 5.34273E-4 | 8 | 509 | 0 | 3.72291E-4 | 8 | 509 | 1 | 
j30_7_2.rcp | 0.001104292 | 38 | 328 | 2 | 0.00139126 | 38 | 328 | 2 | 0.001914673 | 38 | 328 | 2 | 0.001233119 | 38 | 328 | 2 | 
j30_7_3.rcp | 3.10873E-4 | 10 | 309 | 1 | 3.21004E-4 | 10 | 309 | 3 | 4.38224E-4 | 10 | 309 | 3 | 3.07916E-4 | 10 | 309 | 3 | 
j30_7_4.rcp | 7.47231E-4 | 11 | 382 | 1 | 6.30864E-4 | 11 | 382 | 2 | 8.05842E-4 | 11 | 382 | 2 | 7.76019E-4 | 11 | 382 | 2 | 
j30_7_5.rcp | 0.005721992 | 142 | 326 | 0 | 0.007287251 | 142 | 326 | 0 | 0.01213334 | 142 | 326 | 0 | 0.007264746 | 142 | 326 | 0 | 
j30_7_6.rcp | 2.97602E-4 | 10 | 378 | 0 | 3.65694E-4 | 10 | 378 | 0 | 4.79727E-4 | 10 | 378 | 0 | 3.90844E-4 | 10 | 378 | 0 | 
j30_7_7.rcp | 4.18635E-4 | 8 | 680 | 0 | 4.24801E-4 | 8 | 680 | 1 | 5.63546E-4 | 8 | 680 | 1 | 4.02938E-4 | 8 | 680 | 1 | 
j30_7_8.rcp | 0.00783889 | 158 | 512 | 15 | 0.009851495 | 158 | 512 | 12 | 0.014625889 | 158 | 512 | 12 | 0.007788947 | 158 | 512 | 21 | 
j30_7_9.rcp | 3.26843E-4 | 9 | 477 | 0 | 4.03333E-4 | 9 | 477 | 0 | 5.94797E-4 | 9 | 477 | 0 | 4.0897E-4 | 9 | 477 | 0 | 
j30_7_10.rcp | 9.61422E-4 | 46 | 285 | 2 | 0.001329622 | 46 | 285 | 2 | 0.002064395 | 46 | 285 | 2 | 0.001249271 | 46 | 285 | 2 | 
j30_8_1.rcp | 4.82614E-4 | 9 | 306 | 1 | 5.22708E-4 | 9 | 306 | 1 | 5.04395E-4 | 9 | 306 | 1 | 4.17985E-4 | 9 | 306 | 1 | 
