Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_11_10.rcp | 7.73484E-4 | 18 | 438 | 0 | 9.55547E-4 | 18 | 438 | 0 | 0.001396098 | 18 | 438 | 0 | 9.01937E-4 | 18 | 438 | 3 | 
j30_12_1.rcp | 6.36732E-4 | 18 | 416 | 0 | 8.06292E-4 | 18 | 416 | 0 | 0.001180352 | 18 | 416 | 0 | 7.18588E-4 | 18 | 416 | 0 | 
j30_12_2.rcp | 4.51041E-4 | 18 | 340 | 0 | 5.62923E-4 | 18 | 340 | 0 | 8.16107E-4 | 18 | 340 | 0 | 5.38149E-4 | 18 | 340 | 0 | 
j30_12_3.rcp | 6.03311E-4 | 18 | 305 | 0 | 6.88942E-4 | 18 | 305 | 0 | 0.001021562 | 18 | 305 | 0 | 6.10253E-4 | 18 | 305 | 0 | 
j30_12_4.rcp | 4.96271E-4 | 18 | 505 | 0 | 6.20827E-4 | 18 | 505 | 0 | 8.81321E-4 | 18 | 505 | 0 | 5.71176E-4 | 18 | 505 | 0 | 
j30_12_5.rcp | 6.60798E-4 | 18 | 276 | 0 | 7.09078E-4 | 18 | 276 | 1 | 0.001074693 | 18 | 276 | 1 | 6.47523E-4 | 18 | 276 | 1 | 
j30_12_6.rcp | 7.81846E-4 | 18 | 270 | 0 | 9.81378E-4 | 18 | 270 | 0 | 0.001454358 | 18 | 270 | 0 | 8.61384E-4 | 18 | 270 | 2 | 
j30_12_7.rcp | 6.81087E-4 | 18 | 266 | 0 | 8.14553E-4 | 18 | 266 | 0 | 0.001222242 | 18 | 266 | 0 | 7.45447E-4 | 18 | 266 | 0 | 
j30_12_8.rcp | 6.50925E-4 | 18 | 258 | 0 | 7.47506E-4 | 18 | 258 | 0 | 0.001145347 | 18 | 258 | 0 | 6.84861E-4 | 18 | 258 | 0 | 
j30_12_9.rcp | 6.35779E-4 | 18 | 305 | 0 | 7.74774E-4 | 18 | 305 | 0 | 0.00115693 | 18 | 305 | 0 | 7.19343E-4 | 18 | 305 | 0 | 
j30_12_10.rcp | 6.41619E-4 | 18 | 334 | 0 | 7.83726E-4 | 18 | 334 | 0 | 0.001160016 | 18 | 334 | 0 | 6.90103E-4 | 18 | 334 | 0 | 
