Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_1_1.rcp | 0.012370388 | 12 | 282 | 2 | 0.007976372 | 12 | 282 | 4 | 0.004911163 | 12 | 282 | 4 | 0.005319636 | 12 | 282 | 4 | 
j30_1_2.rcp | 0.003268528 | 12 | 382 | 0 | 0.002714277 | 12 | 382 | 1 | 0.002914576 | 12 | 382 | 1 | 0.002539346 | 12 | 382 | 1 | 
j30_1_3.rcp | 0.004743303 | 15 | 511 | 1 | 0.009900674 | 32 | 511 | 12 | 0.010134994 | 32 | 511 | 12 | 0.009607408 | 32 | 511 | 14 | 
j30_1_4.rcp | 0.007778862 | 39 | 531 | 18 | 0.007278959 | 39 | 531 | 19 | 0.008028689 | 39 | 531 | 19 | 0.009943268 | 39 | 531 | 19 | 
j30_1_5.rcp | 0.001905419 | 12 | 281 | 6 | 0.002681419 | 12 | 281 | 7 | 0.00259849 | 12 | 281 | 7 | 0.002573479 | 12 | 281 | 7 | 
j30_1_6.rcp | 0.002758482 | 13 | 285 | 0 | 0.002448617 | 13 | 285 | 3 | 0.003507322 | 13 | 285 | 3 | 0.002358419 | 13 | 285 | 3 | 
j30_1_7.rcp | 1.2460631 | 21441 | 428 | 13093 | 3.6109781 | 73517 | 428 | 26196 | 4.4124928 | 73517 | 428 | 26225 | 1.5201336 | 73517 | 428 | 32633 | 
j30_1_8.rcp | 0.00186818 | 93 | 308 | 45 | 0.001634166 | 68 | 308 | 34 | 0.001327813 | 68 | 308 | 34 | 0.001147559 | 68 | 308 | 34 | 
j30_1_9.rcp | 9.57653E-4 | 61 | 430 | 4 | 0.001213372 | 61 | 430 | 5 | 0.001516712 | 61 | 430 | 5 | 0.001105282 | 61 | 430 | 5 | 
j30_1_10.rcp | 4.03719E-4 | 14 | 454 | 2 | 4.46972E-4 | 14 | 454 | 2 | 4.92342E-4 | 14 | 454 | 2 | 4.34817E-4 | 14 | 454 | 2 | 
j30_2_1.rcp | 4.08895E-4 | 13 | 377 | 0 | 4.44666E-4 | 13 | 377 | 4 | 4.40268E-4 | 13 | 377 | 4 | 3.98329E-4 | 13 | 377 | 4 | 
j30_2_2.rcp | 4.06987E-4 | 12 | 503 | 0 | 4.12272E-4 | 12 | 503 | 1 | 4.33267E-4 | 12 | 503 | 1 | 3.82904E-4 | 12 | 503 | 1 | 
j30_2_3.rcp | 5.73736E-4 | 18 | 429 | 3 | 7.646E-4 | 35 | 429 | 13 | 9.49732E-4 | 35 | 429 | 13 | 8.01881E-4 | 35 | 429 | 13 | 
j30_2_4.rcp | 4.07144E-4 | 13 | 384 | 0 | 3.77333E-4 | 13 | 384 | 1 | 4.43151E-4 | 13 | 384 | 1 | 3.77808E-4 | 13 | 384 | 1 | 
j30_2_5.rcp | 4.0264E-4 | 13 | 430 | 0 | 3.95393E-4 | 13 | 430 | 1 | 5.58437E-4 | 13 | 430 | 1 | 3.66821E-4 | 13 | 430 | 1 | 
j30_2_6.rcp | 0.004354004 | 242 | 381 | 7 | 0.004953955 | 242 | 381 | 13 | 0.006507602 | 242 | 381 | 13 | 0.007244214 | 242 | 381 | 16 | 
j30_2_7.rcp | 3.4498E-4 | 12 | 276 | 1 | 3.66529E-4 | 12 | 276 | 1 | 4.82169E-4 | 12 | 276 | 1 | 4.13459E-4 | 12 | 276 | 2 | 
j30_2_8.rcp | 7.46664E-4 | 12 | 803 | 1 | 4.65865E-4 | 12 | 803 | 2 | 5.16899E-4 | 12 | 803 | 2 | 4.39573E-4 | 12 | 803 | 3 | 
j30_2_9.rcp | 3.9375E-4 | 13 | 405 | 1 | 4.35924E-4 | 13 | 405 | 1 | 4.80317E-4 | 13 | 405 | 1 | 4.01979E-4 | 13 | 405 | 2 | 
j30_2_10.rcp | 3.32418E-4 | 13 | 379 | 1 | 5.86263E-4 | 13 | 379 | 1 | 4.04355E-4 | 13 | 379 | 1 | 5.43068E-4 | 13 | 379 | 2 | 
j30_3_1.rcp | 4.59356E-4 | 16 | 494 | 0 | 6.08752E-4 | 28 | 494 | 1 | 7.81305E-4 | 28 | 494 | 1 | 5.9742E-4 | 28 | 494 | 1 | 
j30_3_2.rcp | 2.45043E-4 | 12 | 383 | 1 | 3.47576E-4 | 12 | 383 | 3 | 3.8289E-4 | 12 | 383 | 3 | 3.30441E-4 | 12 | 383 | 3 | 
j30_3_3.rcp | 2.2196E-4 | 11 | 476 | 1 | 3.3833E-4 | 11 | 476 | 4 | 3.89662E-4 | 11 | 476 | 4 | 3.27972E-4 | 11 | 476 | 4 | 
j30_3_4.rcp | 2.60042E-4 | 9 | 997 | 1 | 2.59749E-4 | 9 | 997 | 3 | 3.07129E-4 | 9 | 997 | 3 | 2.5975E-4 | 9 | 997 | 3 | 
j30_3_5.rcp | 2.34938E-4 | 12 | 484 | 3 | 2.33411E-4 | 12 | 484 | 4 | 2.71035E-4 | 12 | 484 | 4 | 2.45095E-4 | 12 | 484 | 4 | 
j30_3_6.rcp | 2.11773E-4 | 12 | 328 | 2 | 2.50964E-4 | 12 | 328 | 3 | 2.9211E-4 | 12 | 328 | 3 | 2.33651E-4 | 12 | 328 | 3 | 
j30_3_7.rcp | 2.03098E-4 | 12 | 506 | 1 | 2.20227E-4 | 12 | 506 | 1 | 2.63683E-4 | 12 | 506 | 1 | 2.20747E-4 | 12 | 506 | 1 | 
j30_3_8.rcp | 2.05551E-4 | 12 | 368 | 0 | 2.37422E-4 | 12 | 368 | 1 | 2.80804E-4 | 12 | 368 | 1 | 2.17613E-4 | 12 | 368 | 1 | 
j30_3_9.rcp | 2.25895E-4 | 12 | 262 | 0 | 7.14151E-4 | 12 | 262 | 2 | 3.09337E-4 | 12 | 262 | 2 | 2.33039E-4 | 12 | 262 | 2 | 
j30_3_10.rcp | 2.28465E-4 | 14 | 359 | 0 | 2.56082E-4 | 14 | 359 | 0 | 3.25851E-4 | 14 | 359 | 0 | 2.50868E-4 | 14 | 359 | 0 | 
j30_4_1.rcp | 2.19367E-4 | 11 | 335 | 0 | 2.31216E-4 | 11 | 335 | 1 | 3.36857E-4 | 11 | 335 | 1 | 2.18574E-4 | 11 | 335 | 1 | 
j30_4_2.rcp | 1.83956E-4 | 12 | 308 | 0 | 1.91211E-4 | 12 | 308 | 0 | 2.47603E-4 | 12 | 308 | 0 | 2.2951E-4 | 12 | 308 | 0 | 
j30_4_3.rcp | 4.92619E-4 | 49 | 356 | 2 | 6.14125E-4 | 49 | 356 | 2 | 7.50042E-4 | 49 | 356 | 2 | 5.7211E-4 | 49 | 356 | 2 | 
j30_4_4.rcp | 1.90407E-4 | 12 | 304 | 0 | 2.07256E-4 | 12 | 304 | 1 | 2.45215E-4 | 12 | 304 | 1 | 2.00165E-4 | 12 | 304 | 1 | 
j30_4_5.rcp | 5.87168E-4 | 39 | 294 | 2 | 6.26904E-4 | 39 | 294 | 4 | 8.1665E-4 | 39 | 294 | 4 | 5.41389E-4 | 39 | 294 | 4 | 
j30_4_6.rcp | 1.8419E-4 | 10 | 394 | 0 | 2.80397E-4 | 10 | 394 | 0 | 0.002565844 | 10 | 394 | 0 | 2.05797E-4 | 10 | 394 | 0 | 
j30_4_7.rcp | 2.06346E-4 | 11 | 629 | 0 | 2.32265E-4 | 11 | 629 | 1 | 2.69208E-4 | 11 | 629 | 1 | 2.17099E-4 | 11 | 629 | 1 | 
j30_4_8.rcp | 1.90492E-4 | 12 | 482 | 0 | 2.17833E-4 | 12 | 482 | 0 | 2.49026E-4 | 12 | 482 | 0 | 1.94558E-4 | 12 | 482 | 0 | 
j30_4_9.rcp | 2.42751E-4 | 14 | 235 | 0 | 2.3436E-4 | 14 | 235 | 1 | 3.0271E-4 | 14 | 235 | 1 | 2.29712E-4 | 14 | 235 | 1 | 
j30_4_10.rcp | 2.02584E-4 | 10 | 760 | 0 | 2.40584E-4 | 10 | 760 | 1 | 2.75093E-4 | 10 | 760 | 1 | 2.19872E-4 | 10 | 760 | 1 | 
j30_5_1.rcp | 0.001080303 | 18 | 360 | 7 | 0.001339965 | 18 | 360 | 11 | 0.001894837 | 18 | 360 | 11 | 0.001245681 | 18 | 360 | 15 | 
j30_5_2.rcp | 7.57402E-4 | 15 | 484 | 13 | 9.03416E-4 | 15 | 484 | 16 | 0.001141337 | 15 | 484 | 16 | 0.001381041 | 15 | 484 | 16 | 
j30_5_3.rcp | 0.03618885 | 550 | 517 | 450 | 0.030981896 | 604 | 517 | 362 | 0.043415025 | 604 | 517 | 360 | 0.025812412 | 596 | 517 | 393 | 
j30_5_4.rcp | 0.01115274 | 233 | 565 | 201 | 0.02113826 | 371 | 565 | 460 | 0.029785268 | 371 | 565 | 460 | 0.028759751 | 523 | 565 | 619 | 
j30_5_5.rcp | 11.180748 | 188578 | 759 | 125102 | 12.035992 | 198574 | 759 | 159204 | 15.188899 | 198574 | 759 | 159588 | 60.00012 | 1087825 | -1 | 1149510 | 
j30_5_6.rcp | 0.01689246 | 290 | 410 | 324 | 0.46317428 | 7507 | 410 | 7213 | 0.65472806 | 7507 | 410 | 7233 | 0.44105408 | 7507 | 410 | 10471 | 
j30_5_7.rcp | 0.058695056 | 921 | 501 | 984 | 0.1319246 | 1654 | 501 | 1777 | 0.18070959 | 1654 | 501 | 1793 | 0.5463723 | 8582 | 501 | 10290 | 
j30_5_8.rcp | 60.000023 | 1120554 | -1 | 797245 | 60.000095 | 943881 | -1 | 609963 | 60.00007 | 703569 | -1 | 526510 | 60.00007 | 2196906 | -1 | 1048739 | 
j30_5_9.rcp | 0.75863653 | 7514 | 295 | 4408 | 0.58056396 | 6975 | 295 | 4728 | 0.8113058 | 6975 | 295 | 4726 | 0.4928472 | 6975 | 295 | 5479 | 
j30_5_10.rcp | 0.012226005 | 361 | 664 | 63 | 0.005267997 | 77 | 664 | 51 | 0.007701618 | 77 | 664 | 51 | 0.004582084 | 77 | 664 | 49 | 
j30_6_1.rcp | 3.69301E-4 | 11 | 479 | 0 | 4.03544E-4 | 11 | 479 | 1 | 5.82666E-4 | 11 | 479 | 1 | 5.05638E-4 | 11 | 479 | 2 | 
j30_6_2.rcp | 6.65296E-4 | 10 | 454 | 1 | 7.29052E-4 | 10 | 454 | 2 | 6.51461E-4 | 10 | 454 | 2 | 4.44364E-4 | 10 | 454 | 3 | 
j30_6_3.rcp | 3.74604E-4 | 13 | 403 | 0 | 5.13436E-4 | 13 | 403 | 1 | 6.20897E-4 | 13 | 403 | 1 | 4.31909E-4 | 13 | 403 | 1 | 
j30_6_4.rcp | 6.26929E-4 | 13 | 551 | 1 | 0.009985256 | 156 | 551 | 56 | 0.015723594 | 156 | 551 | 56 | 0.008586741 | 156 | 551 | 63 | 
j30_6_5.rcp | 4.66652E-4 | 12 | 369 | 1 | 5.56462E-4 | 12 | 369 | 3 | 6.74225E-4 | 12 | 369 | 3 | 4.52964E-4 | 12 | 369 | 3 | 
j30_6_6.rcp | 5.70183E-4 | 17 | 404 | 3 | 0.002162699 | 40 | 404 | 24 | 0.003064323 | 40 | 404 | 24 | 0.001980308 | 41 | 404 | 26 | 
j30_6_7.rcp | 8.69727E-4 | 29 | 438 | 0 | 0.002398315 | 90 | 438 | 2 | 0.003548305 | 90 | 438 | 2 | 0.002038188 | 90 | 438 | 2 | 
j30_6_8.rcp | 3.73803E-4 | 12 | 327 | 1 | 4.7608E-4 | 12 | 327 | 2 | 6.6087E-4 | 12 | 327 | 2 | 4.35398E-4 | 12 | 327 | 2 | 
j30_6_9.rcp | 0.001845111 | 30 | 363 | 5 | 0.001104399 | 18 | 363 | 11 | 0.001567552 | 18 | 363 | 11 | 0.001093727 | 18 | 363 | 11 | 
j30_6_10.rcp | 0.006570113 | 183 | 341 | 78 | 0.009411977 | 183 | 341 | 82 | 0.013421348 | 183 | 341 | 82 | 0.008509932 | 191 | 341 | 114 | 
j30_7_1.rcp | 3.86811E-4 | 11 | 509 | 0 | 4.64495E-4 | 11 | 509 | 1 | 6.48444E-4 | 11 | 509 | 1 | 4.20375E-4 | 11 | 509 | 1 | 
j30_7_2.rcp | 9.12959E-4 | 41 | 328 | 2 | 0.003030108 | 41 | 328 | 3 | 0.00223013 | 41 | 328 | 3 | 0.001051643 | 41 | 328 | 3 | 
j30_7_3.rcp | 3.62549E-4 | 12 | 309 | 1 | 6.73323E-4 | 12 | 309 | 2 | 4.37243E-4 | 12 | 309 | 2 | 3.70615E-4 | 12 | 309 | 2 | 
j30_7_4.rcp | 4.5451E-4 | 12 | 382 | 0 | 5.22415E-4 | 12 | 382 | 1 | 8.98045E-4 | 12 | 382 | 1 | 9.03096E-4 | 12 | 382 | 1 | 
j30_7_5.rcp | 9.70243E-4 | 16 | 326 | 0 | 0.001589965 | 28 | 326 | 1 | 0.002556166 | 28 | 326 | 1 | 0.001713741 | 28 | 326 | 1 | 
j30_7_6.rcp | 2.79899E-4 | 11 | 378 | 0 | 4.0104E-4 | 11 | 378 | 0 | 4.43945E-4 | 11 | 378 | 0 | 3.07746E-4 | 11 | 378 | 0 | 
j30_7_7.rcp | 4.01952E-4 | 10 | 680 | 0 | 4.47177E-4 | 10 | 680 | 2 | 6.22057E-4 | 10 | 680 | 2 | 6.11039E-4 | 10 | 680 | 2 | 
j30_7_8.rcp | 0.001213033 | 22 | 512 | 3 | 0.001390133 | 22 | 512 | 6 | 0.001616744 | 22 | 512 | 6 | 0.001056363 | 22 | 512 | 7 | 
j30_7_9.rcp | 4.90153E-4 | 12 | 477 | 0 | 4.82463E-4 | 12 | 477 | 0 | 6.2623E-4 | 12 | 477 | 0 | 3.94225E-4 | 12 | 477 | 0 | 
j30_7_10.rcp | 6.50498E-4 | 28 | 285 | 1 | 7.76936E-4 | 28 | 285 | 2 | 0.001077221 | 28 | 285 | 2 | 0.001132908 | 28 | 285 | 2 | 
j30_8_1.rcp | 3.92434E-4 | 11 | 306 | 0 | 4.76963E-4 | 11 | 306 | 2 | 6.5964E-4 | 11 | 306 | 2 | 5.17138E-4 | 11 | 306 | 2 | 
j30_8_2.rcp | 3.24905E-4 | 9 | 455 | 0 | 3.35091E-4 | 9 | 455 | 0 | 4.59331E-4 | 9 | 455 | 0 | 3.2445E-4 | 9 | 455 | 0 | 
j30_8_3.rcp | 3.31274E-4 | 11 | 379 | 0 | 3.74542E-4 | 11 | 379 | 0 | 4.06879E-4 | 11 | 379 | 0 | 2.77584E-4 | 11 | 379 | 0 | 
j30_8_4.rcp | 3.41435E-4 | 11 | 334 | 0 | 4.17615E-4 | 11 | 334 | 2 | 5.50663E-4 | 11 | 334 | 2 | 3.83841E-4 | 11 | 334 | 2 | 
j30_8_5.rcp | 5.17333E-4 | 14 | 476 | 0 | 6.981E-4 | 14 | 476 | 0 | 7.64621E-4 | 14 | 476 | 0 | 5.26275E-4 | 14 | 476 | 0 | 
j30_8_6.rcp | 3.25086E-4 | 13 | 651 | 0 | 6.66427E-4 | 13 | 651 | 0 | 5.94425E-4 | 13 | 651 | 0 | 3.89731E-4 | 13 | 651 | 0 | 
j30_8_7.rcp | 3.92785E-4 | 11 | 362 | 0 | 8.03357E-4 | 11 | 362 | 0 | 0.001535133 | 11 | 362 | 0 | 4.37774E-4 | 11 | 362 | 0 | 
j30_8_8.rcp | 3.81735E-4 | 12 | 478 | 0 | 3.84958E-4 | 12 | 478 | 0 | 5.27759E-4 | 12 | 478 | 0 | 3.66677E-4 | 12 | 478 | 0 | 
j30_8_9.rcp | 4.01383E-4 | 12 | 379 | 0 | 4.00479E-4 | 12 | 379 | 1 | 4.98451E-4 | 12 | 379 | 1 | 3.43296E-4 | 12 | 379 | 1 | 
