Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_4_2.rcp | 1.72756E-4 | 18 | 308 | 0 | 1.9599E-4 | 18 | 308 | 0 | 2.45614E-4 | 18 | 308 | 0 | 2.2815E-4 | 18 | 308 | 0 | 
j30_4_3.rcp | 2.03931E-4 | 18 | 356 | 1 | 2.19404E-4 | 18 | 356 | 1 | 2.71849E-4 | 18 | 356 | 1 | 2.33785E-4 | 18 | 356 | 1 | 
j30_4_4.rcp | 3.01817E-4 | 18 | 304 | 0 | 3.34117E-4 | 18 | 304 | 0 | 3.90188E-4 | 18 | 304 | 0 | 3.06208E-4 | 18 | 304 | 0 | 
j30_4_5.rcp | 6.59173E-4 | 36 | 294 | 1 | 6.88663E-4 | 36 | 294 | 3 | 9.03285E-4 | 36 | 294 | 3 | 6.64374E-4 | 36 | 294 | 4 | 
j30_4_6.rcp | 2.15872E-4 | 18 | 394 | 0 | 2.97693E-4 | 18 | 394 | 0 | 2.40507E-4 | 18 | 394 | 0 | 1.85246E-4 | 18 | 394 | 0 | 
j30_4_7.rcp | 2.76769E-4 | 18 | 629 | 0 | 2.97497E-4 | 18 | 629 | 0 | 3.89882E-4 | 18 | 629 | 0 | 3.15214E-4 | 18 | 629 | 0 | 
j30_4_8.rcp | 3.04525E-4 | 18 | 482 | 0 | 2.94734E-4 | 18 | 482 | 0 | 3.58044E-4 | 18 | 482 | 0 | 2.82313E-4 | 18 | 482 | 0 | 
j30_4_9.rcp | 1.82652E-4 | 18 | 235 | 1 | 1.9203E-4 | 18 | 235 | 1 | 2.36907E-4 | 18 | 235 | 1 | 1.83461E-4 | 18 | 235 | 1 | 
j30_4_10.rcp | 1.91401E-4 | 18 | 760 | 0 | 2.06263E-4 | 18 | 760 | 1 | 2.75892E-4 | 18 | 760 | 1 | 2.04393E-4 | 18 | 760 | 1 | 
j30_5_1.rcp | 0.004077897 | 64 | 360 | 28 | 0.00285905 | 64 | 360 | 19 | 0.00318684 | 64 | 360 | 19 | 0.002015005 | 64 | 360 | 20 | 
j30_5_2.rcp | 0.005300755 | 92 | 484 | 45 | 0.003653306 | 92 | 484 | 53 | 0.004774655 | 92 | 484 | 53 | 0.003340835 | 92 | 484 | 53 | 
j30_5_3.rcp | 0.580473 | 8711 | 517 | 11119 | 0.36044922 | 8711 | 517 | 3433 | 0.51678896 | 8711 | 517 | 3433 | 0.31667742 | 8711 | 517 | 4540 | 
j30_5_4.rcp | 600.00006 | 14140213 | -1 | 13583150 | 600.00006 | 16494088 | -1 | 14809620 | 600.00006 | 12719777 | -1 | 11500919 | 600.00006 | 16977928 | -1 | 15275819 | 
j30_5_5.rcp | 600.00006 | 22323288 | -1 | 14148709 | 600.00006 | 17415454 | -1 | 11796958 | 600.00006 | 14337062 | -1 | 9683319 | 600.00006 | 18918881 | -1 | 12612841 | 
j30_5_6.rcp | 600.00006 | 22273124 | -1 | 13544614 | 600.00006 | 25543398 | -1 | 9565729 | 600.00006 | 17663454 | -1 | 6679321 | 600.00006 | 27217255 | -1 | 10649780 | 
j30_5_7.rcp | 600.0001 | 13171016 | -1 | 16291464 | 600.0001 | 11620706 | -1 | 10830648 | 600.00006 | 8728168 | -1 | 8209334 | 600.0001 | 11179871 | -1 | 16156722 | 
j30_5_8.rcp | 600.00006 | 30566684 | -1 | 35784395 | 600.00006 | 21245930 | -1 | 23607804 | 600.0006 | 14564970 | -1 | 16150075 | 600.00006 | 21643223 | -1 | 24523654 | 
j30_5_9.rcp | 600.00006 | 12230079 | -1 | 8660693 | 600.00006 | 19901887 | -1 | 2351378 | 600.0001 | 13836264 | -1 | 1572388 | 600.00006 | 21257140 | -1 | 3564836 | 
j30_5_10.rcp | 6.78578E-4 | 18 | 664 | 6 | 7.511E-4 | 18 | 664 | 8 | 0.001058102 | 18 | 664 | 8 | 7.19274E-4 | 18 | 664 | 8 | 
j30_6_1.rcp | 0.001080237 | 54 | 479 | 2 | 0.001317894 | 54 | 479 | 5 | 0.00183472 | 54 | 479 | 5 | 0.00120222 | 54 | 479 | 7 | 
j30_6_2.rcp | 0.001214548 | 54 | 454 | 6 | 0.00146981 | 54 | 454 | 8 | 0.002062814 | 54 | 454 | 8 | 0.001346046 | 54 | 454 | 9 | 
j30_6_3.rcp | 3.70435E-4 | 18 | 403 | 0 | 4.43236E-4 | 18 | 403 | 1 | 6.37539E-4 | 18 | 403 | 1 | 3.86746E-4 | 18 | 403 | 4 | 
j30_6_4.rcp | 0.001198258 | 54 | 551 | 8 | 0.001487002 | 54 | 551 | 8 | 0.002057496 | 54 | 551 | 8 | 0.001396359 | 54 | 551 | 9 | 
j30_6_5.rcp | 0.001172571 | 54 | 369 | 3 | 0.001620572 | 54 | 369 | 9 | 0.002736531 | 54 | 369 | 9 | 0.001232233 | 54 | 369 | 12 | 
j30_6_6.rcp | 8.4232E-4 | 36 | 404 | 2 | 9.9911E-4 | 36 | 404 | 3 | 0.00142675 | 36 | 404 | 3 | 9.03325E-4 | 36 | 404 | 4 | 
j30_6_7.rcp | 0.001549105 | 63 | 438 | 5 | 0.002083069 | 63 | 438 | 7 | 0.002593953 | 63 | 438 | 7 | 0.001767078 | 63 | 438 | 7 | 
j30_6_8.rcp | 4.0729E-4 | 18 | 327 | 2 | 4.97254E-4 | 18 | 327 | 2 | 7.02134E-4 | 18 | 327 | 2 | 4.55462E-4 | 18 | 327 | 2 | 
j30_6_9.rcp | 9.70244E-4 | 38 | 363 | 2 | 0.001203623 | 38 | 363 | 5 | 0.001658282 | 38 | 363 | 5 | 0.001111813 | 38 | 363 | 6 | 
j30_6_10.rcp | 8.42726E-4 | 36 | 341 | 0 | 0.001079806 | 36 | 341 | 1 | 0.001480155 | 36 | 341 | 1 | 9.58643E-4 | 36 | 341 | 2 | 
j30_7_1.rcp | 3.99815E-4 | 18 | 509 | 0 | 4.88725E-4 | 18 | 509 | 1 | 6.47266E-4 | 18 | 509 | 1 | 4.26961E-4 | 18 | 509 | 1 | 
j30_7_2.rcp | 3.63479E-4 | 18 | 328 | 1 | 4.35163E-4 | 18 | 328 | 1 | 6.30074E-4 | 18 | 328 | 1 | 3.99322E-4 | 18 | 328 | 1 | 
j30_7_3.rcp | 8.86325E-4 | 56 | 309 | 1 | 0.001007061 | 56 | 309 | 4 | 0.001411751 | 56 | 309 | 4 | 9.72938E-4 | 56 | 309 | 6 | 
j30_7_4.rcp | 4.49349E-4 | 18 | 382 | 0 | 5.64098E-4 | 18 | 382 | 1 | 7.37392E-4 | 18 | 382 | 1 | 5.15934E-4 | 18 | 382 | 1 | 
j30_7_5.rcp | 0.001164193 | 36 | 326 | 0 | 0.001116618 | 36 | 326 | 1 | 0.001232832 | 36 | 326 | 1 | 8.01519E-4 | 36 | 326 | 2 | 
