Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
bl20_1.rcp | 0.06953012 | 107 | 16 | 60 | 0.052976497 | 97 | 16 | 86 | 0.04342148 | 97 | 16 | 86 | 0.047362152 | 97 | 16 | 171 | 
bl20_2.rcp | 0.050048023 | 220 | 16 | 201 | 0.037577204 | 172 | 16 | 201 | 0.047310986 | 172 | 16 | 201 | 0.04335142 | 172 | 16 | 322 | 
bl20_3.rcp | 3.1593075 | 31290 | 15 | 32342 | 1.7125973 | 21910 | 15 | 27077 | 2.985245 | 21914 | 15 | 27294 | 1.572474 | 20726 | 15 | 44697 | 
bl20_4.rcp | 0.4813147 | 7702 | 18 | 8901 | 0.41397786 | 6216 | 18 | 7748 | 0.7304744 | 6216 | 18 | 8408 | 0.34554794 | 5942 | 18 | 10682 | 
bl20_5.rcp | 15.544338 | 188315 | 19 | 382622 | 10.585788 | 118743 | 19 | 248986 | 16.919333 | 118743 | 19 | 247283 | 10.209569 | 113533 | 19 | 276904 | 
bl20_6.rcp | 0.003967347 | 95 | 16 | 33 | 0.003931364 | 88 | 16 | 66 | 0.006071023 | 88 | 16 | 66 | 0.003379492 | 88 | 16 | 90 | 
bl20_7.rcp | 1.1785117 | 16919 | 19 | 23272 | 0.6285152 | 8299 | 19 | 10954 | 1.0308039 | 8443 | 19 | 11030 | 0.50124395 | 8089 | 19 | 17870 | 
bl20_8.rcp | 0.44277808 | 12326 | 20 | 9473 | 0.16289476 | 3386 | 20 | 2983 | 0.2667384 | 3386 | 20 | 2983 | 0.15704209 | 3398 | 20 | 3910 | 
bl20_9.rcp | 0.002175504 | 45 | 14 | 12 | 0.002529551 | 45 | 14 | 26 | 0.004267498 | 45 | 14 | 26 | 0.00207726 | 45 | 14 | 95 | 
bl20_10.rcp | 0.026170408 | 726 | 16 | 671 | 0.008220582 | 202 | 16 | 153 | 0.012397903 | 202 | 16 | 153 | 0.00673636 | 202 | 16 | 207 | 
bl20_11.rcp | 0.003140675 | 123 | 17 | 37 | 0.003916423 | 107 | 17 | 31 | 0.004964846 | 107 | 17 | 31 | 0.003192532 | 107 | 17 | 64 | 
bl20_12.rcp | 1.6880866 | 23624 | 18 | 37285 | 0.7210744 | 9078 | 18 | 18868 | 1.2087947 | 9078 | 18 | 18794 | 0.6863045 | 9020 | 18 | 26107 | 
bl20_13.rcp | 0.33989418 | 4749 | 17 | 7178 | 0.22822154 | 2903 | 17 | 4909 | 0.40495136 | 2903 | 17 | 4931 | 0.2221226 | 2703 | 17 | 6791 | 
bl20_14.rcp | 0.31910262 | 5211 | 18 | 5800 | 0.29127347 | 4155 | 18 | 5722 | 0.4817679 | 4155 | 18 | 5740 | 0.23642425 | 4041 | 18 | 8465 | 
bl20_15.rcp | 0.005780513 | 106 | 13 | 41 | 0.002478892 | 50 | 13 | 19 | 0.004287194 | 50 | 13 | 19 | 0.002580843 | 50 | 13 | 71 | 
bl20_16.rcp | 0.8056838 | 24631 | 19 | 22993 | 0.4945269 | 13603 | 19 | 10607 | 0.7710246 | 13603 | 19 | 10389 | 0.43469408 | 13579 | 19 | 9924 | 
bl20_17.rcp | 0.001693261 | 42 | 15 | 37 | 0.00181497 | 42 | 15 | 43 | 0.002993441 | 42 | 15 | 43 | 0.00166559 | 42 | 15 | 70 | 
bl20_18.rcp | 0.003409483 | 54 | 18 | 57 | 0.003874783 | 54 | 18 | 69 | 0.006413797 | 54 | 18 | 69 | 0.003160414 | 54 | 18 | 111 | 
bl20_19.rcp | 7.86643E-4 | 23 | 14 | 7 | 9.01882E-4 | 23 | 14 | 9 | 0.001449872 | 23 | 14 | 9 | 7.44478E-4 | 23 | 14 | 26 | 
bl20_20.rcp | 0.25164807 | 5845 | 15 | 3862 | 0.051691763 | 1061 | 15 | 889 | 0.08343114 | 1061 | 15 | 894 | 0.04231191 | 1059 | 15 | 1349 | 
Solve by All :20       NbTL :20, NbH :20, NbCH :20, NbOH :20   TimeTL :1.2188683737011161, TimeH :0.7704391520906938, TimeCH :1.2508070987183602, TimeOH :0.7260992424708093   BackTL :16107, BackH :9511, BackCH :9519, BackOH :9148
